Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
866212,8.98,-0.53,4.7,-2.77,0.53,8.15,-0.04,-0.03,0.01,-0.08,-0.01,-0.02,1
1312404,10.0,-2.22,0.56,-1.3,-1.48,7.77,-0.12,-0.51,-0.08,0.76,-0.44,-0.14,0
334758,7.65,-1.57,6.24,-3.96,-0.01,7.72,-0.04,-0.04,-0.0,-0.04,0.01,-0.02,1
359928,8.93,-0.94,4.78,-4.22,-0.65,7.52,-0.04,-0.03,0.0,-0.04,0.03,-0.02,1
2225494,9.58,-1.22,3.87,-2.78,-0.83,7.87,-0.06,-0.03,0.01,0.0,0.02,-0.03,0
1197506,9.29,-0.6,4.13,-3.95,-0.66,7.79,-0.04,-0.05,0.01,-0.05,0.03,0.0,0
64362,8.97,-1.09,4.51,-0.13,1.05,8.6,-0.03,0.0,0.01,-0.04,0.04,-0.04,0
353028,8.01,-0.25,6.07,-5.57,-0.84,6.48,-0.04,-0.05,0.01,-0.05,0.02,-0.02,1
1348930,8.12,-0.59,5.87,-4.05,-0.61,7.74,-0.05,-0.01,0.02,-0.02,0.04,-0.01,1
115112,4.3,-0.46,8.88,-7.47,-2.8,4.21,-0.04,-0.03,-0.01,-0.04,0.03,-0.01,0
9146,4.11,-1.06,9.03,-5.21,-2.75,6.55,-0.05,-0.05,0.01,-0.05,-0.01,-0.02,0
818710,9.36,-1.06,4.11,-1.99,-0.2,8.29,-0.08,-0.1,-0.04,0.06,0.0,-0.06,1
236506,7.89,-1.15,5.98,-3.67,0.38,7.78,-0.03,-0.03,0.02,-0.05,0.02,0.0,1
812614,8.68,-0.08,5.22,-0.8,3.01,8.14,-0.03,-0.12,0.0,-0.03,0.01,0.0,0
1745200,4.23,0.46,8.86,-8.24,-2.0,3.06,-0.06,-0.05,0.0,-0.02,-0.01,-0.02,0
1800818,9.77,-1.61,2.42,-3.96,-0.58,7.69,-0.06,-0.07,0.01,-0.03,-0.01,-0.02,1
120796,4.54,0.41,8.77,-7.47,-1.99,4.38,-0.05,-0.05,0.01,-0.04,0.0,-0.01,0
96842,4.17,-0.51,8.9,-7.41,-2.72,4.14,-0.04,-0.05,0.0,-0.05,0.03,-0.01,0
114300,6.41,-0.06,7.64,-5.87,-3.52,5.53,-0.07,-0.03,0.0,-0.04,0.05,-0.03,0
73700,5.52,0.8,8.25,-8.83,-3.71,-0.92,-0.03,-0.02,0.0,-0.04,0.02,-0.01,0
316482,8.64,-0.83,5.17,-4.5,-2.37,7.09,-0.05,-0.04,0.01,-0.04,0.02,-0.01,1
317300,7.67,-1.57,6.37,-3.9,-0.08,7.74,-0.05,-0.05,0.03,-0.05,-0.0,-0.0,1
286032,8.74,-0.86,4.99,-4.42,-2.19,7.17,-0.02,-0.05,0.01,-0.01,-0.02,-0.02,1
549938,4.83,1.16,8.59,-6.45,-0.38,5.98,-0.01,-0.05,0.01,-0.04,0.02,0.03,0
1687138,6.3,-1.87,7.52,-4.7,-4.21,6.09,-0.02,-0.04,0.02,-0.08,0.03,0.0,0
1892574,9.64,-1.5,2.9,-3.97,-0.49,7.6,-0.05,-0.03,0.0,-0.04,0.0,-0.02,1
2277056,8.04,-1.45,5.76,-5.9,-3.19,5.62,-0.06,-0.04,-0.0,-0.02,0.02,-0.02,0
1832490,4.71,1.87,8.44,-7.8,-1.5,4.17,-0.11,-0.03,-0.08,0.01,0.08,-0.08,0
783794,4.51,0.2,8.75,-7.64,-2.34,4.02,-0.06,-0.05,0.01,-0.02,-0.01,-0.03,0
363584,8.94,-0.41,4.69,-7.86,-2.75,3.56,-0.05,-0.04,0.01,-0.04,0.01,-0.01,1
850784,9.41,-1.15,3.85,-1.91,-0.02,8.3,-0.27,-0.16,0.07,-0.12,-0.11,-0.07,1
106180,4.25,-0.39,9.0,-7.46,-2.75,4.18,-0.04,-0.03,0.0,-0.03,0.03,0.0,0
1933988,4.12,4.17,7.91,-7.88,-0.13,4.12,-0.04,-0.03,0.01,-0.04,0.0,-0.02,0
